ts,conc,fu,legend
36,2e-04,0.113990901343131,36ºC 
37,2e-04,0.167484749499773,37ºC 
38,2e-04,0.238779338195701,38ºC 
39,2e-04,0.327821754943915,39ºC 
36,1e-04,0.120561404817484,36ºC 
37,1e-04,0.181598350303875,37ºC 
38,1e-04,0.263650099321341,38ºC 
39,1e-04,0.365475893493824,39ºC 
36,5e-05,0.185651642345307,36ºC 
37,5e-05,0.278845983569285,37ºC 
38,5e-05,0.395257333350749,38ºC 
39,5e-05,0.524055873808917,39ºC 
36,2.5e-05,0.383646337090163,36ºC 
37,2.5e-05,0.483419146952651,37ºC 
38,2.5e-05,0.583894961130837,38ºC 
39,2.5e-05,0.677284163998012,39ºC 
36,1.25e-05,0.413291141071444,36ºC 
37,1.25e-05,0.522732806641835,37ºC 
38,1.25e-05,0.629372860514328,38ºC 
39,1.25e-05,0.724171894749243,39ºC 
36,6.25e-06,0.520501054998881,36ºC 
37,6.25e-06,0.617702319141758,37ºC 
38,6.25e-06,0.705786534542751,38ºC 
39,6.25e-06,0.780344539948633,39ºC 
36,3.125e-06,0.574881420905082,36ºC 
37,3.125e-06,0.67422322997261,37ºC 
38,3.125e-06,0.759541367423772,38ºC 
39,3.125e-06,0.827822879824238,39ºC 
36,1.5625e-06,0.650621782430353,36ºC 
37,1.5625e-06,0.725285466244637,37ºC 
38,1.5625e-06,0.78879021808621,38ºC 
39,1.5625e-06,0.840538753761013,39ºC 
36,7.8125e-07,0.636571425597467,36ºC 
37,7.8125e-07,0.733242472555489,37ºC 
38,7.8125e-07,0.811358608691975,38ºC 
39,7.8125e-07,0.870311938548142,39ºC 
36,3.90625e-07,0.658750079425402,36ºC 
37,3.90625e-07,0.740088461465455,37ºC 
38,3.90625e-07,0.807310644163128,38ºC 
39,3.90625e-07,0.860128246681561,39ºC 
36,1.953125e-07,0.569960228637874,36ºC 
37,1.953125e-07,0.641694689255664,37ºC 
38,1.953125e-07,0.707201396289477,38ºC 
39,1.953125e-07,0.764771075568599,39ºC 
