(Tm_sd/Tm)*100,(DH_sd/DH)*100,(IU_sd/IU)*100,(IF_sd/IF)*100,(SU_sd/SU)*100,(SF_sd/SF)*100,(deltaCP_sd/deltaCP)*100,legend
0.12,1.8,1.2,2,-1.3,-2.3,NA,Rep 1. 0.2 uM
0.11,1.7,1.2,2.1,-1.3,-2.3,NA,Rep 1. 0.39 uM
0.11,1.7,1.1,2.1,-1.3,-2.3,NA,Rep 1. 0.78 uM
0.12,1.9,1.2,2,-1.3,-2.3,NA,Rep 1. 1.6 uM
0.12,1.8,1.1,2,-1.3,-2.3,NA,Rep 1. 3.1 uM
0.11,1.8,1.1,2,-1.3,-2.3,NA,Rep 1. 6.2 uM
0.11,1.9,1.1,2,-1.3,-2.3,NA,Rep 1. 12 uM
0.095,2,1.1,2,-1.3,-2.3,NA,Rep 1. 25 uM
0.12,2.4,1.1,1.9,-1.3,-2.3,NA,Rep 1. 50 uM
0.12,3.2,1,1.7,-1.3,-2.3,NA,Rep 1. 100 uM
0.13,6.9,0.96,1.5,-1.3,-2.3,NA,Rep 1. 200 uM
