Tm (Celsius),DH (kcal/mol),InterceptUnfolded,InterceptFolded,SlopeUnfolded,SlopeFolded,deltaCP (kcal/K/mol),legend
33.3,44.5,3322,3556,-8,-9.45,-0.149965507312123,Rep 1. 0.2 uM
33.7,45.9,3333,3562,-8,-9.45,-0.149965507312123,Rep 1. 0.39 uM
34.1,42.5,3305,3528,-8,-9.45,-0.149965507312123,Rep 1. 0.78 uM
34.8,39.7,3327,3543,-8,-9.45,-0.149965507312123,Rep 1. 1.6 uM
35.1,53.2,3317,3584,-8,-9.45,-0.149965507312123,Rep 1. 3.1 uM
36.8,50.3,3343,3608,-8,-9.45,-0.149965507312123,Rep 1. 6.2 uM
37.8,66.7,3363,3680,-8,-9.45,-0.149965507312123,Rep 1. 12 uM
39.3,75.4,3423,3764,-8,-9.45,-0.149965507312123,Rep 1. 25 uM
41,86.1,3530,3905,-8,-9.45,-0.149965507312123,Rep 1. 50 uM
42.9,205,3705,4135,-8,-9.45,-0.149965507312123,Rep 1. 100 uM
26,9.95,4038,4942,-8,-9.45,-0.149965507312123,Rep 1. 200 uM
