(Tm_sd/Tm)*100,(DH_sd/DH)*100,(IU_sd/IU)*100,(IF_sd/IF)*100,(SU_sd/SU)*100,(SF_sd/SF)*100,(deltaCP_sd/deltaCP)*100,legend
0.69,3,0.78,0.84,-0.97,-1.1,-134.863168664267,Rep 1. 0.2 uM
0.59,2.7,0.77,0.83,-0.97,-1.1,-134.863168664267,Rep 1. 0.39 uM
0.67,2.8,0.79,0.84,-0.97,-1.1,-134.863168664267,Rep 1. 0.78 uM
0.73,2.7,0.79,0.84,-0.97,-1.1,-134.863168664267,Rep 1. 1.6 uM
0.39,2.6,0.77,0.83,-0.97,-1.1,-134.863168664267,Rep 1. 3.1 uM
0.37,2.4,0.77,0.83,-0.97,-1.1,-134.863168664267,Rep 1. 6.2 uM
0.29,2.8,0.76,0.82,-0.97,-1.1,-134.863168664267,Rep 1. 12 uM
0.28,3.3,0.74,0.8,-0.97,-1.1,-134.863168664267,Rep 1. 25 uM
0.32,4.5,0.72,0.78,-0.97,-1.1,-134.863168664267,Rep 1. 50 uM
0.45,17,0.68,0.74,-0.97,-1.1,-134.863168664267,Rep 1. 100 uM
49,>100,9.2,7.4,-0.97,-1.1,-134.863168664267,Rep 1. 200 uM
