ts,conc,fu,legend
30,2e-04,0.552795999320479,30ºC 
31.6666666666667,2e-04,0.573409539760194,31.7ºC 
33.3333333333333,2e-04,0.59300978759429,33.3ºC 
35,2e-04,0.611584043813831,35ºC 
30,1e-04,8.39720975470229e-07,30ºC 
31.6666666666667,1e-04,5.47449456905155e-06,31.7ºC 
33.3333333333333,1e-04,3.48909076878572e-05,33.3ºC 
35,1e-04,0.000217444654376985,35ºC 
30,5e-05,0.00623279493683453,30ºC 
31.6666666666667,5e-05,0.0136998221086793,31.7ºC 
33.3333333333333,5e-05,0.0295301267787129,33.3ºC 
35,5e-05,0.0618693879608157,35ºC 
30,2.5e-05,0.0227127374800282,30ºC 
31.6666666666667,2.5e-05,0.0445529172518351,31.7ºC 
33.3333333333333,2.5e-05,0.0847907355226282,33.3ºC 
35,2.5e-05,0.154194134144086,35ºC 
30,1.25e-05,0.0575692471965992,30ºC 
31.6666666666667,1.25e-05,0.101477068244158,31.7ºC 
33.3333333333333,1.25e-05,0.171463154205263,33.3ºC 
35,1.25e-05,0.273201928543159,35ºC 
30,6.25e-06,0.135477434177773,30ºC 
31.6666666666667,6.25e-06,0.199553768378265,31.7ºC 
33.3333333333333,6.25e-06,0.282500341056235,33.3ºC 
35,6.25e-06,0.381717884154328,35ºC 
30,3.125e-06,0.188564936608836,30ºC 
31.6666666666667,3.125e-06,0.274693874654666,31.7ºC 
33.3333333333333,3.125e-06,0.379877695445928,33.3ºC 
35,3.125e-06,0.495845152651207,35ºC 
30,1.5625e-06,0.26377438236693,30ºC 
31.6666666666667,1.5625e-06,0.340513514087866,31.7ºC 
33.3333333333333,1.5625e-06,0.425120089750081,33.3ºC 
35,1.5625e-06,0.512827716104943,35ºC 
30,7.8125e-07,0.281342661552946,30ºC 
31.6666666666667,7.8125e-07,0.366456430543844,31.7ºC 
33.3333333333333,7.8125e-07,0.459196764204371,33.3ºC 
35,7.8125e-07,0.553277830739872,35ºC 
30,3.90625e-07,0.286056530261038,30ºC 
31.6666666666667,3.90625e-07,0.379008429814076,31.7ºC 
33.3333333333333,3.90625e-07,0.480079259682462,33.3ºC 
35,3.90625e-07,0.581177782671933,35ºC 
30,1.953125e-07,0.310710972794049,30ºC 
31.6666666666667,1.953125e-07,0.403741919689032,31.7ºC 
33.3333333333333,1.953125e-07,0.502583095946919,33.3ºC 
35,1.953125e-07,0.599651550196544,35ºC 
