Tm (Celsius),DH (kcal/mol),InterceptUnfolded,InterceptFolded,SlopeUnfolded,SlopeFolded,deltaCP (kcal/K/mol),legend
33.2,134,3834,-1480,-7.25,9.36,0,Rep 1. 0.11 uM
33.3,132,3413,-1264,-5.89,8.64,0,Rep 2. 0.11 uM
33.5,128,3549,-2762,-6.39,13.5,0,Rep 1. 0.22 uM
32.3,100,4500,4703,-9.55,-11.5,0,Rep 2. 0.22 uM
32.9,113,4774,2030,-9.93,-1.89,0,Rep 1. 0.45 uM
32.4,94.1,4789,4917,-10.4,-12.2,0,Rep 2. 0.45 uM
32.2,97.2,5023,6089,-11,-15.9,0,Rep 1. 0.9 uM
31.5,87.7,4991,11250,-10.9,-33.1,0,Rep 2. 0.9 uM
33.1,104,5114,2411,-11.3,-3.57,0,Rep 1. 1.8 uM
32.8,96.7,4900,3940,-10.7,-8.77,0,Rep 2. 1.8 uM
33.8,104,5118,1950,-11.1,-1.87,0,Rep 1. 3.6 uM
33.2,90.8,4675,3347,-9.7,-6.58,0,Rep 2. 3.6 uM
33.9,95.1,5090,3718,-10.8,-7.48,0,Rep 1. 6.2 uM
34.3,88,6214,4582,-14.4,-10.4,0,Rep 2. 6.2 uM
36.5,141,6042,305.3,-13.4,4.4,0,Rep 1. 12 uM
35.9,107,6161,3591,-13.6,-6.41,0,Rep 2. 12 uM
37.7,124,8287,4314,-19.6,-7.84,0,Rep 1. 25 uM
37.2,105,8344,6158,-19.8,-14.1,0,Rep 2. 25 uM
38.9,94.8,12420,8907,-30.8,-21.3,0,Rep 1. 50 uM
38.8,92.9,12490,9120,-31.1,-22,0,Rep 2. 50 uM
39.1,84.8,21390,14860,-55.5,-36.7,0,Rep 1. 100 uM
40.1,95.7,21100,12380,-54.7,-28.6,0,Rep 2. 100 uM
39.6,95.7,31350,22650,-82.9,-56.4,0,Rep 1. 200 uM
38.8,105,42080,32320,-113,-82.8,0,Rep 2. 200 uM
